AREA_SHORT,LHIN7,LHIN8,AREA_NAME,LONGITUDE,LATITUDE,Point_Coun,AnalysisAr,2018/20_Male_0+,2018/20_Female_0+,2018/20_BothSexes_0+,2018/20_Male_0+_in%,2018/20_Female_0+_in%,2018/20_BothSexes_0+_in%,2018/20_Male_0-4,2018/20_Female_0-4,2018/20_BothSexes_0-4,2018/20_Male_0-4_in%,2018/20_Female_0-4_in%,2018/20_BothSexes_0-4_in%,2018/20_Male_5-19,2018/20_Female_5-19,2018/20_BothSexes_5-19,2018/20_Male_5-19_in%,2018/20_Female_5-19_in%,2018/20_BothSexes_5-19_in%,2018/20_Male_20-44,2018/20_Female_20-44,2018/20_BothSexes_20-44,2018/20_Male_20-44_in%,2018/20_Female_20-44_in%,2018/20_BothSexes_20-44_in%,2018/20_Male_45-64,2018/20_Female_45-64,2018/20_BothSexes_45-64,2018/20_Male_45-64_in%,2018/20_Female_45-64_in%,2018/20_BothSexes_45-64_in%,2018/20_Male_65-74,2018/20_Female_65-74,2018/20_BothSexes_65-74,2018/20_Male_65-74_in%,2018/20_Female_65-74_in%,2018/20_BothSexes_65-74_in%,2018/20_Male_75+,2018/20_Female_75+,2018/20_BothSexes_75+,2018/20_Male_75+_in%,2018/20_Female_75+_in%,2018/20_BothSexes_75+_in%,2015/17_Male_0+,2015/17_Female_0+,2015/17_BothSexes_0+,2015/17_Male_0+_in%,2015/17_Female_0+_in%,2015/17_BothSexes_0+_in%,2015/17_Male_0-4,2015/17_Female_0-4,2015/17_BothSexes_0-4,2015/17_Male_0-4_in%,2015/17_Female_0-4_in%,2015/17_BothSexes_0-4_in%,2015/17_Male_5-19,2015/17_Female_5-19,2015/17_BothSexes_5-19,2015/17_Male_5-19_in%,2015/17_Female_5-19_in%,2015/17_BothSexes_5-19_in%,2015/17_Male_20-44,2015/17_Female_20-44,2015/17_BothSexes_20-44,2015/17_Male_20-44_in%,2015/17_Female_20-44_in%,2015/17_BothSexes_20-44_in%,2015/17_Male_45-64,2015/17_Female_45-64,2015/17_BothSexes_45-64,2015/17_Male_45-64_in%,2015/17_Female_45-64_in%,2015/17_BothSexes_45-64_in%,2015/17_Male_65-74,2015/17_Female_65-74,2015/17_BothSexes_65-74,2015/17_Male_65-74_in%,2015/17_Female_65-74_in%,2015/17_BothSexes_65-74_in%,2015/17_Male_75+,2015/17_Female_75+,2015/17_BothSexes_75+,2015/17_Male_75+_in%,2015/17_Female_75+_in%,2015/17_BothSexes_75+_in%
174,?,?,South Eglinton-Davisville,-79.39262302,43.70193218,0,0.94467515,4901,6184,11085,24.23,26.05,25.22,390,313,703,36.65,34.7,35.76,373,329,702,19.27,17.15,18.21,1760,2421,4181,16.69,20.46,18.68,1131,1052,2183,26.41,20.51,23.19,485,663,1148,35.82,34.46,35.02,762,1406,2168,73.13,69.26,70.57000000000001,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
173,?,?,North Toronto,-79.39507453,43.71025377,0,0.40218699,3432,4132,7564,28.5,28.02,28.24,224,212,436,43.239999999999995,38.83,40.98,193,201,394,19.46,19.14,19.29,1466,1709,3175,21.95,22.34,22.16,916,1016,1932,34.57,29.45,31.67,304,396,700,38.78,33.67,35.71,329,598,927,78.33,68.42,71.64,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
172,?,?,Dovercourt Village,-79.42880464,43.66622797,1,1.50361064,4038,4303,8341,29.84,30.79,30.33,268,225,493,48.55,44.29,46.51,377,376,753,24.29,26.9,25.53,1390,1746,3136,22.39,26.22,24.37,974,873,1847,27.67,26.39,27.05,405,355,760,43.64,33.55,38.27,624,728,1352,81.03999999999999,69.73,74.53,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
171,?,?,Junction-Wallace Emerson,-79.44512379,43.66530373,1,2.22378605,9772,9379,19151,38.07,36.91,37.5,833,596,1429,58.42,46.35,52.69,829,864,1693,27.630000000000003,32.78,30.04,3580,4052,7632,29.26,31.88,30.59,2917,2130,5047,46.01000000000001,38.23,42.37,863,783,1646,51.99,43.69,47.68,750,954,1704,74.55,67.56,70.47,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
170,?,?,Yonge-Bay Corridor,-79.38372789,43.65295134,0,1.11915208,3027,3773,6800,21.09,24.38,22.79,325,209,534,36.519999999999996,27.65,32.44,212,210,422,12.07,13.26,12.63,1452,2103,3555,17.04,21.83,19.58,568,804,1372,24.07,32.6,28.43,268,227,495,52.34,34.5,42.31,202,220,422,63.92,57.59,60.46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
169,?,?,Bay-Cloverhill,-79.38895123,43.66489869,0,0.69081463,3139,3741,6880,21.11,21.77,21.46,314,235,549,44.86,33.57,39.21,173,215,388,12.59,14.73,13.69,1202,1588,2790,14.68,16.5,15.67,546,597,1143,20.15,20.1,20.12,315,431,746,32.01,36.59,34.51,589,675,1264,64.16,53.74,58.14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
156,?,?,Bendale-Glen Andrew,-79.25996705999999,43.76643132,0,4.91478514,5654,6404,12058,31.49,32.77,32.16,598,515,1113,57.39,51.81,54.67,678,636,1314,22.77,23.21,22.98,1576,2042,3618,23.67,28.92,26.37,1158,1259,2417,26.69,26.35,26.51,533,682,1215,34.88,35.41,35.18,1111,1270,2381,78.78999999999999,62.19,68.97,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
155,?,?,Downsview,-79.47424522999999,43.73870203,2,8.2863867,6844,8473,15317,38.63,45.02,41.92,561,463,1024,52.23,44.519999999999996,48.44,700,652,1352,23.380000000000003,23.4,23.39,2059,2919,4978,32.21,42.6,37.59,1927,2722,4649,39.88,52.96,46.62,598,599,1197,46.57,44.17,45.34,999,1118,2117,87.63,67.92,75.98999999999999,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
154,?,?,Oakdale-Beverley Heights,-79.51074251,43.72655763,0,6.68812872,9058,10632,19690,38.73,42.85,40.85,1072,866,1938,66.92,55.02,61.02,1180,1287,2467,25.57,29.3,27.39,2696,3763,6459,34.27,43.42,39.06,2372,2690,5062,37.06,41.37,39.23,804,807,1611,48.96,43.34,45.98,934,1219,2153,74.01000000000001,67.05,69.90000000000001,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
153,?,?,Avondale,-79.40084211,43.76096439,0,1.03208836,3218,3777,6995,20.96,21.76,21.38,421,323,744,44.6,35.65,40.22,459,419,878,23.73,22.36,23.06,1376,1742,3118,17.52,19.76,18.7,550,767,1317,17.1,18.91,18.11,204,246,450,23.08,22.4,22.7,208,280,488,39.85,46.05,43.19,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
152,?,?,East Willowdale,-79.40031073999999,43.77344943,0,3.51517272,2296,2472,4768,21.54,20.39,20.93,257,160,417,48.67,36.2,42.99,263,258,521,16.130000000000003,15.45,15.79,626,804,1430,16.37,18.48,17.49,554,606,1160,18.75,17.32,17.98,280,281,561,27.61,23.15,25.18,316,363,679,44.51000000000001,38.21,40.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
151,?,?,Yonge-Doris,-79.41190926,43.77154341,1,0.47190497,4967,5885,10852,18.59,18.61,18.6,505,393,898,38.85,31.689999999999998,35.35,571,451,1022,15.5,12.440000000000001,13.98,1614,2122,3736,14.07,15.72,14.96,962,1204,2166,14.7,14.42,14.54,416,583,999,20.23,22.47,21.48,899,1132,2031,53.9,49.09,51.11,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
150,?,?,Fenside-Parkwoods,-79.33092188000001,43.76157426,1,3.31669574,6294,8116,14410,30.2,34.75,32.6,716,455,1171,58.4,41.29,50.3,834,747,1581,22.41,20.72,21.57,2167,2936,5103,26.83,33.8,30.44,1291,2286,3577,24.22,35.97,30.61,544,655,1199,39.88,34.58,36.8,742,1037,1779,66.25,60.5,62.77,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
149,?,?,Parkwoods-O'Connor Hills,-79.32957482,43.74980043,0,4.14844963,4359,4735,9094,29.92,30.1,30.02,381,294,675,48.97,45.65,47.47,691,594,1285,24.080000000000002,22.130000000000003,23.14,1078,1491,2569,24.6,29.63,27.29,1122,1216,2338,26.24,27.55,26.9,470,447,917,38.65,29.76,33.74,617,693,1310,58.99,47.66,52.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
148,?,?,East L'Amoreaux,-79.30567157999999,43.79896536,0,3.69558141,6008,6935,12943,30.36,32.15,31.3,763,503,1266,74.95,55.27,65.66,869,835,1704,26.46,26.71,26.58,1678,2145,3823,25.51,30.75,28.21,1392,1737,3129,24.56,26.82,25.77,616,714,1330,33.26,32.08,32.61,690,1001,1691,49.64,53.99,52.13,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
147,?,?,L'Amoreaux West,-79.32306325,43.7922473,1,3.46200631,7768,9450,17218,33.23,35.63,34.51,674,441,1115,65.31,47.010000000000005,56.6,909,792,1701,25.29,23.52,24.43,2007,2492,4499,27.09,31.79,29.5,1718,2281,3999,26.29,29.79,28.18,754,1181,1935,31.21,38.05,35.05,1706,2263,3969,71.38,62.62,66.11,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
146,?,?,Malvern East,-79.21564823999999,43.80202404,0,4.83371123,7739,9645,17384,31.37,35.8,33.68,776,688,1464,58.61,53.83,56.26,1119,1157,2276,24.0,25.65,24.81,2396,3215,5611,27.92,34.63,31.41,1805,2484,4289,28.2,33.81,31.2,916,1036,1952,37.95,37.32,37.61,727,1065,1792,56.44,60.86,58.99,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
145,?,?,Malvern West,-79.23075138,43.80560331,0,4.03101536,6495,7365,13860,31.57,33.49,32.56,712,560,1272,63.010000000000005,47.3,54.97,948,769,1717,22.97,18.990000000000002,21,1956,2611,4567,27.76,33.67,30.86,1611,1867,3478,29.65,32.78,31.25,609,823,1432,34.56,41.52,38.25,659,735,1394,61.47000000000001,55.35,58.08,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
144,?,?,Morningside Heights,-79.19771809,43.82789931,2,28.96301019,8240,9168,17408,30.7,31.44,31.09,898,740,1638,60.27,51.6,56.02,1206,1051,2257,22.65,19.669999999999998,21.16,2463,3075,5538,26.47,30.05,28.34,2089,2395,4484,28.89,30.33,29.64,876,910,1786,37.28,35.57,36.39,708,997,1705,62.32000000000001,58.92,60.29,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
143,?,?,West Rouge,-79.14801994,43.79860068,0,8.58513254,5860,6728,12588,29.06,31.01,30.07,478,398,876,48.089999999999996,41.37,44.79,787,765,1552,22.69,23.89,23.27,1645,2083,3728,24.72,29.86,27.35,1415,1710,3125,25.92,26.93,26.46,803,774,1577,35.1,29.59,32.16,732,998,1730,56.31,62.85,59.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
142,?,?,Woburn North,-79.23681531,43.77317572,0,6.30111485,8591,9934,18525,30.95,33.12,32.08,903,812,1715,56.510000000000005,50.62,53.56,1235,1087,2322,24.71,22.6,23.67,2610,3520,6130,24.83,31.05,28.05,2092,2329,4421,29.89,30.74,30.33,716,825,1541,36.2,34.75,35.41,1035,1361,2396,61.9,59.38,60.44,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
141,?,?,Golfdale-Cedarbrae-Woburn,-79.21999798,43.76002245,0,6.036781,8929,10360,19289,31.86,35.18,33.56,937,702,1639,52.23,43.12,47.9,1174,1117,2291,21.19,20.79,21,2441,3258,5699,25.6,31.8,28.81,2164,2414,4578,30.05,33.67,31.85,904,937,1841,42.28,38.37,40.2,1309,1932,3241,71.92,74.65,73.53,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
